date,interest,isPartial
2004-08-21,22.4,False
2004-08-22,0.0,False
2004-08-23,23.45,False
2004-08-24,19.599999999999998,False
2004-08-25,19.95,False
2004-08-26,10.149999999999999,False
2004-08-27,10.85,False
2004-08-28,27.65,False
2004-08-29,31.499999999999996,False
2004-08-30,16.099999999999998,False
2004-08-31,15.749999999999998,False
2004-09-01,4.48,False
2004-09-02,22.400000000000002,False
2004-09-03,0.0,False
2004-09-04,7.36,False
2004-09-05,7.36,False
2004-09-06,4.8,False
2004-09-07,8.64,False
2004-09-08,12.8,False
2004-09-09,17.28,False
2004-09-10,9.28,False
2004-09-11,13.76,False
2004-09-12,0.0,False
2004-09-13,12.16,False
2004-09-14,20.16,False
2004-09-15,8.32,False
2004-09-16,12.8,False
2004-09-17,17.92,False
2004-09-18,6.72,False
2004-09-19,0.0,False
2004-09-20,20.48,False
2004-09-21,16.0,False
2004-09-22,20.48,False
2004-09-23,8.32,False
2004-09-24,4.48,False
2004-09-25,0.0,False
2004-09-26,6.4,False
2004-09-27,19.84,False
2004-09-28,32.0,False
2004-09-29,8.0,False
2004-09-30,4.16,False
2004-10-01,8.0,False
2004-10-02,16.0,False
2004-10-03,7.68,False
2004-10-04,18.88,False
2004-10-05,16.64,False
2004-10-06,9.92,False
2004-10-07,15.040000000000001,False
2004-10-08,32.0,False
2004-10-09,15.68,False
2004-10-10,0.0,False
2004-10-11,9.92,False
2004-10-12,24.64,False
2004-10-13,20.8,False
2004-10-14,12.16,False
2004-10-15,18.240000000000002,False
2004-10-16,15.68,False
2004-10-17,11.200000000000001,False
2004-10-18,21.12,False
2004-10-19,14.08,False
2004-10-20,14.08,False
2004-10-21,26.560000000000002,False
2004-10-22,23.36,False
2004-10-23,15.36,False
2004-10-24,0.0,False
2004-10-25,16.32,False
2004-10-26,13.76,False
2004-10-27,23.36,False
2004-10-28,11.84,False
2004-10-29,25.6,False
2004-10-30,10.24,False
2004-10-31,7.68,False
2004-11-01,14.43,False
2004-11-02,12.58,False
2004-11-03,8.51,False
2004-11-04,4.4399999999999995,False
2004-11-05,4.81,False
2004-11-06,13.69,False
2004-11-07,19.98,False
2004-11-08,19.61,False
2004-11-09,0.0,False
2004-11-10,16.28,False
2004-11-11,0.0,False
2004-11-12,37.0,False
2004-11-13,13.69,False
2004-11-14,26.27,False
2004-11-15,8.14,False
2004-11-16,4.07,False
2004-11-17,21.09,False
2004-11-18,20.72,False
2004-11-19,0.0,False
2004-11-20,0.0,False
2004-11-21,12.95,False
2004-11-22,15.91,False
2004-11-23,29.23,False
2004-11-24,30.71,False
2004-11-25,9.62,False
2004-11-26,0.0,False
2004-11-27,13.69,False
2004-11-28,12.95,False
2004-11-29,31.82,False
2004-11-30,28.49,False
2004-12-01,15.58,False
2004-12-02,11.02,False
2004-12-03,38.0,False
2004-12-04,10.64,False
2004-12-05,13.68,False
2004-12-06,13.3,False
2004-12-07,15.2,False
2004-12-08,20.9,False
2004-12-09,15.58,False
2004-12-10,7.22,False
2004-12-11,7.22,False
2004-12-12,13.68,False
2004-12-13,17.1,False
2004-12-14,25.84,False
2004-12-15,18.240000000000002,False
2004-12-16,6.84,False
2004-12-17,7.6,False
2004-12-18,30.02,False
2004-12-19,11.02,False
2004-12-20,6.84,False
2004-12-21,23.94,False
2004-12-22,10.26,False
2004-12-23,8.36,False
2004-12-24,7.6,False
2004-12-25,9.88,False
2004-12-26,8.36,False
2004-12-27,19.38,False
2004-12-28,23.94,False
2004-12-29,10.64,False
2004-12-30,17.1,False
2004-12-31,26.22,False
2005-01-01,19.24,False
2005-01-02,8.51,False
2005-01-03,19.61,False
2005-01-04,15.17,False
2005-01-05,5.18,False
2005-01-06,26.64,False
2005-01-07,16.28,False
2005-01-08,23.31,False
2005-01-09,11.47,False
2005-01-10,19.61,False
2005-01-11,16.65,False
2005-01-12,16.65,False
2005-01-13,17.02,False
2005-01-14,15.54,False
2005-01-15,0.0,False
2005-01-16,14.8,False
2005-01-17,19.61,False
2005-01-18,11.84,False
2005-01-19,19.24,False
2005-01-20,29.23,False
2005-01-21,25.9,False
2005-01-22,18.87,False
2005-01-23,14.43,False
2005-01-24,16.28,False
2005-01-25,14.06,False
2005-01-26,21.83,False
2005-01-27,21.83,False
2005-01-28,30.71,False
2005-01-29,14.8,False
2005-01-30,21.46,False
2005-01-31,37.0,False
2005-02-01,22.549999999999997,False
2005-02-02,32.39,False
2005-02-03,13.94,False
2005-02-04,4.92,False
2005-02-05,36.9,False
2005-02-06,28.7,False
2005-02-07,32.8,False
2005-02-08,22.959999999999997,False
2005-02-09,14.35,False
2005-02-10,23.779999999999998,False
2005-02-11,25.009999999999998,False
2005-02-12,6.97,False
2005-02-13,0.0,False
2005-02-14,18.04,False
2005-02-15,41.0,False
2005-02-16,0.0,False
2005-02-17,22.549999999999997,False
2005-02-18,14.35,False
2005-02-19,21.32,False
2005-02-20,6.97,False
2005-02-21,17.63,False
2005-02-22,26.24,False
2005-02-23,13.12,False
2005-02-24,17.63,False
2005-02-25,19.27,False
2005-02-26,0.0,False
2005-02-27,0.0,False
2005-02-28,8.61,False
2005-03-01,26.400000000000002,False
2005-03-02,9.9,False
2005-03-03,10.23,False
2005-03-04,15.84,False
2005-03-05,11.22,False
2005-03-06,22.11,False
2005-03-07,20.790000000000003,False
2005-03-08,20.790000000000003,False
2005-03-09,21.45,False
2005-03-10,16.830000000000002,False
2005-03-11,15.180000000000001,False
2005-03-12,14.520000000000001,False
2005-03-13,7.260000000000001,False
2005-03-14,23.1,False
2005-03-15,23.43,False
2005-03-16,33.0,False
2005-03-17,14.520000000000001,False
2005-03-18,31.35,False
2005-03-19,26.73,False
2005-03-20,23.1,False
2005-03-21,16.830000000000002,False
2005-03-22,21.45,False
2005-03-23,19.470000000000002,False
2005-03-24,13.530000000000001,False
2005-03-25,19.470000000000002,False
2005-03-26,20.790000000000003,False
2005-03-27,11.88,False
2005-03-28,25.41,False
2005-03-29,16.830000000000002,False
2005-03-30,9.57,False
2005-03-31,29.700000000000003,False
2005-04-01,4.95,False
2005-04-02,6.930000000000001,False
2005-04-03,6.6000000000000005,False
2005-04-04,0.0,False
2005-04-05,0.0,True
2005-04-06,33.0,False
2005-04-07,22.11,False
2005-04-08,0.0,False
2005-04-09,13.860000000000001,False
2005-04-10,13.530000000000001,False
2005-04-11,21.12,False
2005-04-12,16.5,False
2005-04-13,12.870000000000001,False
2005-04-14,13.200000000000001,False
2005-04-15,9.24,False
2005-04-16,21.12,False
2005-04-17,27.060000000000002,False
2005-04-18,16.830000000000002,False
2005-04-19,20.790000000000003,False
2005-04-20,17.16,False
2005-04-21,8.91,False
2005-04-22,19.14,False
2005-04-23,13.860000000000001,False
2005-04-24,13.530000000000001,False
2005-04-25,8.58,False
2005-04-26,16.5,False
2005-04-27,25.41,False
2005-04-28,8.58,False
2005-04-29,14.190000000000001,False
2005-04-30,6.930000000000001,False
2005-05-01,21.3,False
2005-05-02,30.0,False
2005-05-03,19.5,False
2005-05-04,15.299999999999999,False
2005-05-05,16.5,False
2005-05-06,24.0,False
2005-05-07,7.199999999999999,False
2005-05-08,26.7,False
2005-05-09,8.1,False
2005-05-10,8.1,False
2005-05-11,6.3,False
2005-05-12,12.9,False
2005-05-13,18.599999999999998,False
2005-05-14,13.5,False
2005-05-15,6.6,False
2005-05-16,15.0,False
2005-05-17,10.2,False
2005-05-18,8.1,False
2005-05-19,17.099999999999998,False
2005-05-20,13.799999999999999,False
