"Private Households in Permanent Housing Units 2011 to 2016 (Number) by"
"Aggregate Town or Rural Area, Age Group of Reference Person, Nature of"
"Occupancy, County and City and Census Year"

" "," "," "," ","2011","2016"
"State"
" ","All ages"
" "," ","All types of occupancy"
" "," "," ","Meath",2908,3244
" "," "," ","Offaly",1882,2206
" "," "," ","Westmeath",2056,2404
" "," "," ","Wexford",4335,4961
" "," "," ","Wicklow",4225,4588
" "," "," ","Clare",2374,2703
" "," "," ","Cork City",7260,8130
" "," "," ","Cork County",7369,8894
" "," "," ","Kerry",4081,4373
" "," "," ","Limerick City and County",4995,5803
" "," "," ","Tipperary",4887,5719
" "," "," ","Waterford City and County",4690,5087
" "," "," ","Galway City",2560,2903
" "," "," ","Galway County",2535,2759
" "," "," ","Leitrim",927,933
" "," "," ","Mayo",2257,2598
" "," "," ","Roscommon",1340,1493
" "," "," ","Sligo",1952,2272
" "," "," ","Cavan",1704,2169
" "," "," ","Donegal",4785,5133
" "," "," ","Monaghan",1508,1692
" "," ","Rented from a Voluntary Body"
" "," "," ","State",14942,16765
" "," "," ","Carlow",288,294
" "," "," ","Dublin City",2728,3274
" "," "," ","Dún Laoghaire-Rathdown",566,761
" "," "," ","Fingal",667,761
" "," "," ","South Dublin",1057,1194
" "," "," ","Kildare",655,742
" "," "," ","Kilkenny",344,422
" "," "," ","Laois",324,321
" "," "," ","Longford",184,167
" "," "," ","Louth",571,582
" "," "," ","Meath",261,301
" "," "," ","Offaly",242,251
" "," "," ","Westmeath",110,141
" "," "," ","Wexford",364,364
" "," "," ","Wicklow",175,203
" "," "," ","Clare",284,289
" "," "," ","Cork City",616,618
" "," "," ","Cork County",907,1243
" "," "," ","Kerry",357,350
" "," "," ","Limerick City and County",647,761
" "," "," ","Tipperary",652,723
" "," "," ","Waterford City and County",631,662
" "," "," ","Galway City",437,447
" "," "," ","Galway County",344,319
" "," "," ","Leitrim",96,70
" "," "," ","Mayo",396,398
" "," "," ","Roscommon",87,86
" "," "," ","Sligo",252,285
" "," "," ","Cavan",119,133
" "," "," ","Donegal",442,439
" "," "," ","Monaghan",139,164
" "," ","Occupied free of rent"
" "," "," ","State",25436,27440
" "," "," ","Carlow",295,368
" "," "," ","Dublin City",2419,2761
" "," "," ","Dún Laoghaire-Rathdown",997,1123
" "," "," ","Fingal",725,781
" "," "," ","South Dublin",594,676
" "," "," ","Kildare",950,1061
" "," "," ","Kilkenny",570,614
" "," "," ","Laois",484,460
" "," "," ","Longford",244,257
" "," "," ","Louth",617,611
" "," "," ","Meath",973,903
" "," "," ","Offaly",442,467
" "," "," ","Westmeath",467,498
" "," "," ","Wexford",955,1096
" "," "," ","Wicklow",732,805
" "," "," ","Clare",748,793
" "," "," ","Cork City",542,583
" "," "," ","Cork County",2651,2812
" "," "," ","Kerry",1113,1182
" "," "," ","Limerick City and County",1109,1266
" "," "," ","Tipperary",1142,1276
" "," "," ","Waterford City and County",626,696
" "," "," ","Galway City",329,387
" "," "," ","Galway County",1225,1356
" "," "," ","Leitrim",281,275
" "," "," ","Mayo",1009,1019
" "," "," ","Roscommon",448,447
" "," "," ","Sligo",472,440
" "," "," ","Cavan",475,511
" "," "," ","Donegal",1338,1469
" "," "," ","Monaghan",464,447
" "," ","Not stated"
" "," "," ","State",24696,53002
" "," "," ","Carlow",333,735
" "," "," ","Dublin City",4586,12764
" "," "," ","Dún Laoghaire-Rathdown",1061,1883
" "," "," ","Fingal",1322,3463
" "," "," ","South Dublin",1176,2803
" "," "," ","Kildare",930,1613
" "," "," ","Kilkenny",402,676
" "," "," ","Laois",421,811
" "," "," ","Longford",210,399
" "," "," ","Louth",683,1512
" "," "," ","Meath",750,1416
" "," "," ","Offaly",339,646
" "," "," ","Westmeath",454,799
" "," "," ","Wexford",562,1087
" "," "," ","Wicklow",655,1067
" "," "," ","Clare",666,1080
" "," "," ","Cork City",860,2211
" "," "," ","Cork County",1881,3501
" "," "," ","Kerry",816,1403
" "," "," ","Limerick City and County",992,2176
" "," "," ","Tipperary",826,1429
" "," "," ","Waterford City and County",629,1367
" "," "," ","Galway City",461,1384
" "," "," ","Galway County",777,1487
" "," "," ","Leitrim",175,307
" "," "," ","Mayo",624,1040
" "," "," ","Roscommon",301,492
" "," "," ","Sligo",520,654
" "," "," ","Cavan",447,658
" "," "," ","Donegal",633,1661
" "," "," ","Monaghan",204,478

