"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",26,28,19,71,86,132,131,155,118
" "," "," "," "," ","Value of Sales (Euro Million)",2.9,4.2,4.4,11.0,7.2,12.5,17.7,24.2,16.8
" "," "," "," "," ","Mean Sale Price (Euro)",112478,149324,231316,154373,83236,94754,135217,156197,142488
" "," "," "," "," ","Median Price (Euro)",120000,138750,145000,193125,62400,78930,122222,149000,126967
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",8,21,18,15,41,149,88,83,69
" "," "," "," "," ","Value of Sales (Euro Million)",0.8,3.6,2.2,2.0,3.7,15.0,8.6,9.5,8.9
" "," "," "," "," ","Mean Sale Price (Euro)",102646,169438,124779,130867,90553,100542,97300,114929,128910
" "," "," "," "," ","Median Price (Euro)",136000,125000,107500,94000,60000,109920,44917,70000,114000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",15,13,43,34,82,89,96,110,151
" "," "," "," "," ","Value of Sales (Euro Million)",6.1,2.4,4.3,3.7,12.1,13.9,20.0,23.8,32.1
" "," "," "," "," ","Mean Sale Price (Euro)",409000,185231,99877,107453,147050,155658,208074,216244,212459
" "," "," "," "," ","Median Price (Euro)",425000,180000,54400,94875,108500,128000,135000,175000,178952
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",8,16,15,11,21,23,43,42,76
" "," "," "," "," ","Value of Sales (Euro Million)",1.1,2.2,1.2,1.2,2.2,2.2,4.0,6.0,9.1
" "," "," "," "," ","Mean Sale Price (Euro)",132500,138406,78267,106955,103314,95269,93419,142536,119559
" "," "," "," "," ","Median Price (Euro)",130000,99750,80000,80000,71400,90000,75000,125000,79394
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",7,5,18,8,10,49,50,104,111
" "," "," "," "," ","Value of Sales (Euro Million)",1.4,1.3,2.5,1.3,1.4,4.2,5.4,10.7,10.9
" "," "," "," "," ","Mean Sale Price (Euro)",205714,262000,139056,160813,135270,85332,108986,103297,98140
" "," "," "," "," ","Median Price (Euro)",155000,170000,113000,83250,110000,86000,110000,80154,95000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",4,13,7,6,9,63,64,51,71
" "," "," "," "," ","Value of Sales (Euro Million)",1.1,2.7,0.6,0.9,0.7,3.1,4.5,5.5,9.2
" "," "," "," "," ","Mean Sale Price (Euro)",265088,205962,84643,149417,77611,48685,70206,108264,130248
" "," "," "," "," ","Median Price (Euro)",227675,160000,110000,107000,65000,31412,60000,90000,90000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",3,11,21,12,64,49,93,52,113
" "," "," "," "," ","Value of Sales (Euro Million)",0.7,1.5,2.7,2.1,4.5,6.4,6.3,7.2,10.2
" "," "," "," "," ","Mean Sale Price (Euro)",228333,134689,126238,175125,70732,130405,67779,137560,89971
" "," "," "," "," ","Median Price (Euro)",200000,128571,73000,132500,54000,91600,35242,115000,50855
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",14,12,21,34,52,119,153,166,206
" "," "," "," "," ","Value of Sales (Euro Million)",2.4,1.6,3.3,3.4,5.4,9.8,16.9,16.6,25.4
" "," "," "," "," ","Mean Sale Price (Euro)",168416,136794,155989,101397,103710,82235,110244,99971,123076
" "," "," "," "," ","Median Price (Euro)",140000,120000,130000,87500,65400,73280,110000,89500,115000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",9,20,19,28,56,98,189,181,138
" "," "," "," "," ","Value of Sales (Euro Million)",1.9,3.0,1.9,4.8,6.1,9.3,23.2,14.5,20.2
" "," "," "," "," ","Mean Sale Price (Euro)",215000,152466,100738,173036,109511,95028,122971,80147,146090
" "," "," "," "," ","Median Price (Euro)",160000,138500,65000,115000,97500,80000,115000,55000,120000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",12,18,28,24,82,130,173,276,109
" "," "," "," "," ","Value of Sales (Euro Million)",1.9,3.4,3.0,3.1,6.0,9.0,14.5,22.5,14.6
" "," "," "," "," ","Mean Sale Price (Euro)",155000,187064,107339,129800,73387,69100,83818,81550,133852
" "," "," "," "," ","Median Price (Euro)",100000,150000,34000,93000,47350,58270,69900,37187,121000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",25,20,41,43,68,89,127,234,193
" "," "," "," "," ","Value of Sales (Euro Million)",6.5,3.8,4.8,5.8,7.3,9.6,13.9,31.3,27.8
" "," "," "," "," ","Mean Sale Price (Euro)",259460,191766,116704,135291,107584,108280,109102,133756,144254
" "," "," "," "," ","Median Price (Euro)",180000,182500,70000,92500,90000,67000,110000,136000,140000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",8,10,17,28,42,94,62,119,99
" "," "," "," "," ","Value of Sales (Euro Million)",2.8,1.7,9.5,5.8,9.3,21.9,22.2,32.9,30.6
" "," "," "," "," ","Mean Sale Price (Euro)",345500,165432,558981,205924,222512,232509,357514,276622,308746
" "," "," "," "," ","Median Price (Euro)",350000,197000,140000,150000,187150,122500,217000,178000,265000
" "," ","Executions"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",909,1232,1866,2623,6522,6967,7594,8785,10276
" "," "," "," "," ","Value of Sales (Euro Million)",186.0,233.1,345.0,441.9,1203.0,1255.0,1638.9,2067.7,2651.3
" "," "," "," "," ","Mean Sale Price (Euro)",204632,189167,184893,168484,184450,180129,215809,235371,258005
" "," "," "," "," ","Median Price (Euro)",171640,160000,157857,110000,135000,135205,150000,177000,202500
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",12,13,6,36,29,53,61,64,200
" "," "," "," "," ","Value of Sales (Euro Million)",2.2,2.0,0.7,3.7,3.1,5.9,6.4,8.1,26.4
" "," "," "," "," ","Mean Sale Price (Euro)",179623,152140,118752,103903,105304,111882,105462,126667,132015
" "," "," "," "," ","Median Price (Euro)",167750,163795,95000,45000,112000,70228,100000,120000,108173
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",2,8,9,68,193,126,89,114,99
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,1.9,1.0,2.2,7.6,9.6,8.3,7.8,11.7
" "," "," "," "," ","Mean Sale Price (Euro)",182500,240819,108167,32587,39528,76372,92961,68073,117828
" "," "," "," "," ","Median Price (Euro)",182500,268750,75000,22050,20507,52000,95000,50000,120000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",11,21,20,20,167,256,274,181,128
" "," "," "," "," ","Value of Sales (Euro Million)",2.4,4.9,3.8,3.3,14.1,14.9,40.7,40.4,21.2
" "," "," "," "," ","Mean Sale Price (Euro)",216032,232951,188357,165775,84666,58108,148499,223421,165532
" "," "," "," "," ","Median Price (Euro)",190000,160000,70000,80500,50043,28750,174632,77500,145000
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",82,160,172,276,456,582,781,1027,925
" "," "," "," "," ","Value of Sales (Euro Million)",14.4,24.3,26.3,47.7,67.4,82.8,138.3,195.3,225.3
" "," "," "," "," ","Mean Sale Price (Euro)",176177,152077,152952,172889,147852,142325,177061,190169,243608
" "," "," "," "," ","Median Price (Euro)",172667,165138,133775,150500,110003,127753,162500,180000,188031
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",23,30,35,27,144,133,189,184,238
" "," "," "," "," ","Value of Sales (Euro Million)",2.6,4.3,3.7,2.3,11.1,11.5,17.0,17.8,25.7
" "," "," "," "," ","Mean Sale Price (Euro)",111018,142757,105059,86467,76886,86304,89695,96526,107948
" "," "," "," "," ","Median Price (Euro)",130001,115000,69000,65000,54960,54971,67105,85000,91000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",352,415,969,1319,3495,3140,2944,3601,4496
" "," "," "," "," ","Value of Sales (Euro Million)",76.7,98.0,213.6,267.5,893.7,786.0,984.7,1239.6,1598.7
" "," "," "," "," ","Mean Sale Price (Euro)",217889,236032,220400,202769,255696,250317,334462,344243,355581
" "," "," "," "," ","Median Price (Euro)",170000,181312,171008,115752,194086,192761,220000,259553,293928
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",37,54,52,139,298,449,573,475,340
" "," "," "," "," ","Value of Sales (Euro Million)",8.7,11.4,7.6,17.2,36.2,47.2,72.9,79.7,73.9
" "," "," "," "," ","Mean Sale Price (Euro)",235734,211491,146944,124002,121384,105090,127243,167813,217327
" "," "," "," "," ","Median Price (Euro)",170000,190001,79388,95340,91600,71429,102500,135567,170000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",31,28,33,59,81,94,121,262,325
" "," "," "," "," ","Value of Sales (Euro Million)",6.0,6.4,5.6,10.4,8.8,17.2,22.3,34.6,41.7
" "," "," "," "," ","Mean Sale Price (Euro)",193372,228707,169455,176144,108262,183060,184265,132135,128340
" "," "," "," "," ","Median Price (Euro)",195607,217500,130000,140000,73280,102979,130000,111000,90000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",26,69,35,107,146,227,317,469,542
" "," "," "," "," ","Value of Sales (Euro Million)",5.4,14.6,4.2,12.2,18.1,63.9,75.2,96.4,137.4
" "," "," "," "," ","Mean Sale Price (Euro)",208182,212233,118957,113635,124202,281620,237358,205601,253580
" "," "," "," "," ","Median Price (Euro)",185563,249999,68000,85125,76430,145000,185000,175488,253208
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",7,32,31,34,82,181,95,122,178
" "," "," "," "," ","Value of Sales (Euro Million)",0.9,5.8,4.8,4.9,11.9,23.0,15.2,18.9,32.8
" "," "," "," "," ","Mean Sale Price (Euro)",125643,180535,155872,143244,145546,127168,160521,155100,184127
" "," "," "," "," ","Median Price (Euro)",100000,125000,95000,112500,90457,98717,137000,145000,179000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",14,33,31,76,45,98,161,130,180
" "," "," "," "," ","Value of Sales (Euro Million)",2.0,3.9,2.0,4.3,4.3,8.3,19.7,13.4,23.3
" "," "," "," "," ","Mean Sale Price (Euro)",146371,119094,63158,56700,95149,84313,122523,103264,129536
" "," "," "," "," ","Median Price (Euro)",124788,135000,35753,36667,68700,64000,131000,110000,121500
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",1,7,5,5,29,27,58,46,39
" "," "," "," "," ","Value of Sales (Euro Million)",0.1,1.2,0.8,0.7,1.9,2.6,5.4,3.6,4.5
" "," "," "," "," ","Mean Sale Price (Euro)",149999,177453,160170,132744,65838,97400,92965,78153,116464
" "," "," "," "," ","Median Price (Euro)",149999,144713,81153,113500,41220,45400,67050,70938,110618
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",8,24,44,44,258,282,278,236,394
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,4.1,5.9,7.5,20.4,37.0,23.1,32.2,61.6
" "," "," "," "," ","Mean Sale Price (Euro)",229298,170400,133288,170309,78896,131040,83088,136591,156470
" "," "," "," "," ","Median Price (Euro)",235400,140000,100111,101400,75000,90000,45000,100000,99844
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",2,14,6,12,60,31,35,52,70
" "," "," "," "," ","Value of Sales (Euro Million)",0.2,1.7,0.3,1.3,4.1,1.8,2.7,4.8,7.8
" "," "," "," "," ","Mean Sale Price (Euro)",103500,119857,57709,105042,67718,56669,76057,92377,112084
" "," "," "," "," ","Median Price (Euro)",103500,106666,65000,89382,52000,50000,75000,75500,97500
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",68,38,98,97,112,159,128,222,283
" "," "," "," "," ","Value of Sales (Euro Million)",17.9,6.7,17.1,14.7,9.8,14.4,18.9,43.6,57.2
" "," "," "," "," ","Mean Sale Price (Euro)",263597,177290,174845,151786,87515,90364,147640,196396,202294
" "," "," "," "," ","Median Price (Euro)",319219,143750,195000,141875,71400,70000,122361,176923,221325
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",18,18,21,17,73,134,93,90,74
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,3.5,2.4,2.0,6.3,13.7,9.2,9.9,10.7
" "," "," "," "," ","Mean Sale Price (Euro)",101909,195096,112608,120177,86203,102400,99287,109945,144002
" "," "," "," "," ","Median Price (Euro)",115533,127763,90000,75000,64120,125324,44917,60000,122500
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",23,32,49,41,153,76,208,194,323
" "," "," "," "," ","Value of Sales (Euro Million)",7.4,5.7,5.1,6.2,18.8,12.8,38.0,47.8,78.0
" "," "," "," "," ","Mean Sale Price (Euro)",320839,177849,103450,151395,122629,168548,182658,246259,241464
" "," "," "," "," ","Median Price (Euro)",230000,180000,54400,100000,96200,130500,130000,240887,241690
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",37,24,18,24,30,32,46,70,91
" "," "," "," "," ","Value of Sales (Euro Million)",6.1,3.9,1.9,2.9,2.7,3.7,4.4,11.4,11.8
" "," "," "," "," ","Mean Sale Price (Euro)",165227,162224,106840,121419,91520,116208,95772,162512,129873
" "," "," "," "," ","Median Price (Euro)",205000,164750,92500,110000,71400,133299,90000,188000,110000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",12,10,23,10,19,80,74,95,116
" "," "," "," "," ","Value of Sales (Euro Million)",2.1,1.8,3.9,0.9,2.6,5.9,7.0,10.2,11.6
" "," "," "," "," ","Mean Sale Price (Euro)",175000,176998,169763,86389,137170,74153,94440,107690,99723
" "," "," "," "," ","Median Price (Euro)",152500,104164,135000,91888,100760,79450,70000,110943,95000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",7,12,7,8,43,77,84,84,121
" "," "," "," "," ","Value of Sales (Euro Million)",1.7,2.0,0.6,1.1,2.2,2.6,5.2,9.1,14.5
" "," "," "," "," ","Mean Sale Price (Euro)",242193,170625,84643,140338,50358,34179,61586,108651,119580
" "," "," "," "," ","Median Price (Euro)",210000,159750,110000,107000,36640,21739,45000,101947,100000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",7,14,18,12,78,45,129,89,118
" "," "," "," "," ","Value of Sales (Euro Million)",1.1,2.1,1.9,2.1,5.8,7.5,8.9,11.4,12.4
" "," "," "," "," ","Mean Sale Price (Euro)",156357,147643,104111,177625,73842,167596,69194,128310,105214
" "," "," "," "," ","Median Price (Euro)",90000,128571,40000,115000,56000,110000,35242,85700,50855
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",31,32,19,40,92,158,164,187,253
" "," "," "," "," ","Value of Sales (Euro Million)",5.4,4.5,3.6,4.7,7.5,16.5,19.7,20.3,30.9
" "," "," "," "," ","Mean Sale Price (Euro)",172639,142001,192035,116314,81994,104135,120338,108313,122061
" "," "," "," "," ","Median Price (Euro)",151804,109383,160000,96250,65400,83871,112000,85000,107500
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",22,38,27,38,112,116,223,159,249
" "," "," "," "," ","Value of Sales (Euro Million)",3.1,6.7,3.8,5.8,10.9,10.7,25.9,15.4,43.3
" "," "," "," "," ","Mean Sale Price (Euro)",139070,176279,140645,151934,97600,92650,116300,96564,174044
" "," "," "," "," ","Median Price (Euro)",146956,138500,120000,117405,74500,83300,105000,63000,169000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",23,32,55,26,143,93,182,267,133
" "," "," "," "," ","Value of Sales (Euro Million)",3.7,5.5,6.0,2.8,11.3,6.0,16.0,21.2,17.9
" "," "," "," "," ","Mean Sale Price (Euro)",162261,172695,108643,109135,79205,64352,87993,79357,134347
" "," "," "," "," ","Median Price (Euro)",155895,149951,78000,75625,69189,50000,69900,37187,125000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",42,21,42,49,109,170,190,293,225
" "," "," "," "," ","Value of Sales (Euro Million)",8.9,3.2,4.5,6.1,10.9,17.0,21.3,42.9,34.1
" "," "," "," "," ","Mean Sale Price (Euro)",212405,153669,107333,125386,99633,99932,111909,146423,151730
" "," "," "," "," ","Median Price (Euro)",155000,142789,72500,80000,90800,70000,109126,148000,150000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",11,53,41,39,75,148,97,72,136
" "," "," "," "," ","Value of Sales (Euro Million)",3.0,2.8,14.0,7.4,11.6,32.4,32.4,31.9,36.7
" "," "," "," "," ","Mean Sale Price (Euro)",269183,52643,341808,188685,154648,218837,334280,442931,269977
" "," "," "," "," ","Median Price (Euro)",199000,0,184286,120000,108000,152097,230000,269000,237539
" "," "," ","New"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",389,516,475,736,1114,2017,1847,2148,2879
" "," "," "," "," ","Value of Sales (Euro Million)",77.3,90.5,87.5,76.1,177.2,307.0,402.8,530.4,785.4
" "," "," "," "," ","Mean Sale Price (Euro)",198600,175432,184242,103331,159093,152182,218090,246931,272815
" "," "," "," "," ","Median Price (Euro)",176720,165278,174895,97500,116338,138305,145285,238874,257645
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",3,6,0,2,3,21,22,7,42
" "," "," "," "," ","Value of Sales (Euro Million)",0.6,1.0,0.0,0.8,0.4,3.1,1.7,1.5,8.8
" "," "," "," "," ","Mean Sale Price (Euro)",206490,163795,..,387506,147438,149606,79351,207928,209572
" "," "," "," "," ","Median Price (Euro)",176720,163795,..,387506,160000,70228,66313,184395,252538
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",0,2,3,4,3,32,26,30,27
" "," "," "," "," ","Value of Sales (Euro Million)",0.0,0.4,0.4,0.5,0.1,2.3,2.2,1.3,2.8
" "," "," "," "," ","Mean Sale Price (Euro)",..,192026,131667,135234,43716,72731,85252,44826,102456
" "," "," "," "," ","Median Price (Euro)",..,192026,80000,123167,51075,86576,99313,40481,136648
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",3,2,1,0,45,24,5,82,45
" "," "," "," "," ","Value of Sales (Euro Million)",0.5,1.1,2.2,0.0,2.7,3.9,0.4,8.3,7.4
" "," "," "," "," ","Mean Sale Price (Euro)",161117,539693,2183686,..,60398,162925,77018,100667,163408
" "," "," "," "," ","Median Price (Euro)",183100,539693,2183686,..,50043,122332,77018,82027,190680
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",31,69,6,64,72,202,251,243,243
" "," "," "," "," ","Value of Sales (Euro Million)",5.5,8.1,1.0,9.5,7.9,29.6,43.8,45.1,51.5
" "," "," "," "," ","Mean Sale Price (Euro)",178813,116963,174894,149067,109764,146375,174573,185549,212131
" "," "," "," "," ","Median Price (Euro)",172667,164525,201463,129999,108958,150955,160000,171130,204937
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",8,7,8,0,40,9,14,8,53
" "," "," "," "," ","Value of Sales (Euro Million)",1.4,0.7,1.1,0.0,2.0,1.8,2.0,1.5,8.1
" "," "," "," "," ","Mean Sale Price (Euro)",179739,104527,134604,..,50548,205180,140476,189791,153773
" "," "," "," "," ","Median Price (Euro)",186140,93638,171936,..,23457,81720,108960,204300,130500
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",162,195,256,411,577,1062,854,1104,1301
" "," "," "," "," ","Value of Sales (Euro Million)",30.5,37.0,49.4,38.9,130.0,190.8,257.3,347.8,456.0
" "," "," "," "," ","Mean Sale Price (Euro)",188222,189749,192908,94553,225272,179678,301294,315064,350473
" "," "," "," "," ","Median Price (Euro)",190570,179950,173000,95000,149885,150713,218771,303030,340500
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",8,16,6,45,67,84,186,71,50
" "," "," "," "," ","Value of Sales (Euro Million)",1.7,2.9,1.2,3.8,7.5,9.3,23.9,9.8,7.4
" "," "," "," "," ","Mean Sale Price (Euro)",206875,180121,193648,84687,112288,110708,128362,137847,147855
" "," "," "," "," ","Median Price (Euro)",175000,187500,70938,95340,100003,79450,139866,60000,161738
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",12,2,7,23,5,26,18,38,64
" "," "," "," "," ","Value of Sales (Euro Million)",2.2,0.6,2.4,3.9,0.3,6.4,4.3,6.6,10.0
" "," "," "," "," ","Mean Sale Price (Euro)",187095,297938,341311,171230,68537,247871,236499,174482,156587
" "," "," "," "," ","Median Price (Euro)",195607,297938,323475,140000,50717,91853,164575,136200,187000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",12,60,5,66,42,27,46,109,209
" "," "," "," "," ","Value of Sales (Euro Million)",2.3,13.6,0.5,5.4,4.3,4.8,8.8,19.8,60.4
" "," "," "," "," ","Mean Sale Price (Euro)",192727,227201,90800,81467,101680,177713,190341,181990,289200
" "," "," "," "," ","Median Price (Euro)",168832,249999,113500,75000,0,206250,125000,175488,285251
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",2,10,17,4,40,94,7,34,53
" "," "," "," "," ","Value of Sales (Euro Million)",0.3,1.4,2.4,0.4,3.4,11.4,0.8,5.4,10.1
" "," "," "," "," ","Mean Sale Price (Euro)",155000,144713,139943,93491,84086,120958,120380,159568,191507
" "," "," "," "," ","Median Price (Euro)",155000,147550,200000,16321,78088,98717,108930,131110,204300
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",2,9,13,12,3,29,71,8,85
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,1.5,1.4,0.7,0.1,1.5,11.0,1.0,12.7
" "," "," "," "," ","Mean Sale Price (Euro)",181600,161361,103993,59144,45000,50597,154930,125471,148848
" "," "," "," "," ","Median Price (Euro)",181600,137000,118998,40000,45000,35000,145000,144999,129390
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",1,6,1,4,4,17,14,13,3
" "," "," "," "," ","Value of Sales (Euro Million)",0.1,0.8,0.1,0.4,0.5,1.7,1.7,1.0,0.3
" "," "," "," "," ","Mean Sale Price (Euro)",149999,140362,81153,103430,116338,99076,121675,73426,99000
" "," "," "," "," ","Median Price (Euro)",149999,144713,81153,90233,113500,22227,68100,24970,90000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",3,5,4,7,21,20,19,18,40
" "," "," "," "," ","Value of Sales (Euro Million)",0.6,1.1,0.4,1.1,2.1,2.3,1.5,3.0,6.6
" "," "," "," "," ","Mean Sale Price (Euro)",184326,227838,100732,156728,100403,116252,76811,166733,165745
" "," "," "," "," ","Median Price (Euro)",177179,147551,133363,61574,104182,113810,105189,181600,135065
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",0,6,0,6,16,13,0,15,14
" "," "," "," "," ","Value of Sales (Euro Million)",0.0,0.6,0.0,0.5,1.3,0.6,0.0,1.7,2.3
" "," "," "," "," ","Mean Sale Price (Euro)",..,99999,..,77168,82032,44330,..,110605,167719
" "," "," "," "," ","Median Price (Euro)",..,99999,..,75194,46063,26666,..,49656,180647
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",41,12,80,22,4,39,12,60,156
" "," "," "," "," ","Value of Sales (Euro Million)",15.0,1.7,13.9,3.1,0.6,3.9,1.9,18.6,37.9
" "," "," "," "," ","Mean Sale Price (Euro)",366054,137889,173247,142653,144338,99327,158758,310317,243225
" "," "," "," "," ","Median Price (Euro)",327770,143750,195000,121579,152495,102150,191815,228419,244423
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",2,5,2,0,7,6,9,6,7
" "," "," "," "," ","Value of Sales (Euro Million)",0.0,0.7,0.5,0.0,0.4,0.3,0.8,0.6,1.7
" "," "," "," "," ","Mean Sale Price (Euro)",1,132345,234378,..,59563,54897,87139,96475,248484
" "," "," "," "," ","Median Price (Euro)",1,99000,234378,..,58263,47348,39999,51075,209975
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",3,20,5,9,40,6,111,95,163
" "," "," "," "," ","Value of Sales (Euro Million)",0.7,3.7,0.7,2.3,3.2,1.2,17.4,24.8,44.7
" "," "," "," "," ","Mean Sale Price (Euro)",224767,186408,132873,250142,80974,203973,157163,261240,274511
" "," "," "," "," ","Median Price (Euro)",236000,175925,164575,164999,40293,206570,120310,271123,259613
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",24,13,3,12,2,11,0,32,20
" "," "," "," "," ","Value of Sales (Euro Million)",4.7,2.0,0.6,1.5,0.1,1.5,0.0,5.7,3.2
" "," "," "," "," ","Mean Sale Price (Euro)",195579,156798,204706,122879,61909,136922,..,178729,161049
" "," "," "," "," ","Median Price (Euro)",206651,179500,203733,110000,61909,133299,..,190600,131636
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",3,7,4,3,2,37,3,13,5
" "," "," "," "," ","Value of Sales (Euro Million)",0.3,0.8,0.6,0.4,0.3,2.6,0.0,1.2,0.6
" "," "," "," "," ","Mean Sale Price (Euro)",113333,111426,150388,125796,171385,70831,1,95601,124850
" "," "," "," "," ","Median Price (Euro)",150000,104164,147550,151806,171385,69643,1,118040,124850
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",2,1,0,2,13,34,20,33,49
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,0.1,0.0,0.2,0.7,0.2,0.7,3.5,5.4
" "," "," "," "," ","Mean Sale Price (Euro)",200000,130001,..,113100,52297,7254,36753,104703,109237
" "," "," "," "," ","Median Price (Euro)",200000,130001,..,113100,34050,5878,31213,103894,100000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",2,1,0,1,3,9,24,38,8
" "," "," "," "," ","Value of Sales (Euro Million)",0.2,0.0,0.0,0.1,0.4,2.2,1.6,3.8,2.5
" "," "," "," "," ","Mean Sale Price (Euro)",75000,1,..,105000,136606,245498,68248,100996,313030
" "," "," "," "," ","Median Price (Euro)",75000,1,..,105000,164999,168848,26073,85700,59999
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",19,19,3,3,11,44,10,16,59
" "," "," "," "," ","Value of Sales (Euro Million)",3.0,3.0,0.9,0.2,0.7,5.7,2.3,2.7,7.5
" "," "," "," "," ","Mean Sale Price (Euro)",158569,159869,310965,75717,67378,128475,232265,165954,127764
" "," "," "," "," ","Median Price (Euro)",151804,105266,220000,51075,78542,60579,116034,56750,81071
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",14,16,7,8,29,26,24,9,105
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,3.6,1.0,1.0,2.3,2.4,2.6,2.5,21.1
" "," "," "," "," ","Mean Sale Price (Euro)",130682,228081,141977,130131,79601,93067,107852,274404,200733
" "," "," "," "," ","Median Price (Euro)",145951,160000,165001,132430,63100,93732,96475,177615,193534
" "," "," "," ","Westmeath"
