"RTB Average Monthly Rent Report (Euro) by Property Type, Number of"
"Bedrooms, Location and Year"

" "," "," ","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Detached house"
" ","One bed"
" "," ","Sandyford, Dublin 16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Dublin 17",1199.53,1064.24,976.27,951.85,913.64,933.40,997.79,1084.17,1178.18,1255.49,1354.71
" "," ","Malahide Road, Dublin 17",1266.65,1128.88,970.67,920.71,920.13,944.33,1040.79,1125.12,1197.18,1426.02,1612.08
" "," ","Northern Cross, Dublin 17",0.00,1067.17,1032.81,1016.20,957.94,947.23,988.06,0.00,0.00,1326.90,0.00
" "," ","Dublin 18",1403.35,1255.45,1120.91,1093.65,1118.11,1161.71,1265.86,1393.62,1522.81,1634.43,1705.40
" "," ","Cabinteely, Dublin 18",1309.02,1189.34,1059.74,1029.01,1029.48,1060.15,1130.63,1204.40,1295.35,1408.67,1462.85
" "," ","Carrickmines, Dublin 18",1389.35,1212.12,1089.16,1064.04,1113.61,1139.08,1278.42,1371.99,1518.47,1628.60,1671.26
" "," ","Foxrock, Dublin 18",0.00,1548.53,1428.65,1487.22,1597.06,0.00,1531.93,1543.93,0.00,0.00,0.00
" "," ","Leopardstown, Dublin 18",0.00,1271.70,1216.56,1179.08,1175.77,1196.96,1306.97,1511.12,1699.29,1820.56,1901.35
" "," ","Sandyford, Dublin 18",1438.38,1289.46,1138.90,1105.03,1140.30,1204.25,1315.27,1421.12,1530.34,1630.08,1709.60
" "," ","Stepaside, Dublin 18",1309.76,1144.18,1021.21,986.38,1016.35,1072.25,1148.41,1243.89,1358.92,1428.39,1513.23
" "," ","Dublin 20",1177.58,1075.26,960.87,909.03,898.10,925.08,1010.55,1104.13,1239.59,1313.65,1381.17
" "," ","Chapelizod, Dublin 20",1185.35,1077.31,953.09,908.84,894.79,930.01,1008.83,1099.46,1191.04,1262.38,1364.62
" "," ","Palmerstown, Dublin 20",0.00,0.00,0.00,894.34,900.00,918.38,0.00,1273.70,1339.78,1448.04,1471.30
" "," ","Clondalkin, Dublin 22",1103.88,996.44,854.28,821.13,829.22,855.47,907.54,995.58,1086.35,1159.33,1312.31
" "," ","Dublin 24",1164.23,1039.35,916.21,874.82,874.16,893.12,1011.20,1139.21,1180.13,1275.87,1359.45
" "," ","Ballycullen, Dublin 24",1193.13,1084.88,964.34,933.75,935.81,955.21,1030.43,1117.23,1204.70,1312.83,1396.42
" "," ","Citywest, Dublin 24",1151.89,1032.79,897.53,870.20,874.94,898.76,965.38,1061.34,1146.14,1231.37,1308.46
" "," ","Firhouse, Dublin 24",0.00,1088.89,899.23,885.38,901.21,923.60,1011.88,1057.86,0.00,1287.50,0.00
" "," ","Tallaght, Dublin 24",1151.56,1032.95,915.29,874.22,871.09,893.57,1051.93,1178.92,1191.00,1285.43,1354.30
" "," ","Galway",818.90,758.34,719.90,717.16,717.28,735.21,797.60,835.32,948.27,924.59,985.90
" "," ","Galway City",872.91,799.06,760.91,752.51,755.22,778.03,859.78,898.53,1027.83,993.33,1064.76
" "," ","Athenry, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,609.48,0.00
" "," ","Ballinasloe, Galway",546.81,529.47,470.51,449.67,464.47,457.73,469.62,439.04,498.53,498.51,532.71
" "," ","Ballybane, Galway",0.00,0.00,669.73,638.54,628.40,644.78,681.27,719.07,761.95,807.95,872.58
" "," ","Ballybrit, Galway",0.00,726.71,671.71,668.56,674.88,685.19,707.96,761.20,860.48,945.96,1007.56
" "," ","Barna, Galway",0.00,0.00,789.12,762.28,760.22,749.03,790.10,923.26,994.62,1042.78,1137.14
" "," ","Bohermore, Galway",974.29,901.40,817.91,767.16,784.47,814.79,851.03,933.17,948.96,1001.84,1057.99
" "," ","Claregalway, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Clifden, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.41,535.53,0.00,0.00
" "," ","Doughiska, Galway",797.56,737.92,683.28,663.72,672.41,673.84,696.48,740.53,798.21,872.82,941.10
" "," ","Gort, Galway",809.65,751.17,727.92,745.51,730.90,942.81,1054.93,1645.93,2033.28,791.13,787.54
" "," ","Headford, Galway",882.46,760.34,700.82,688.73,684.46,793.47,741.77,823.69,990.90,855.41,862.98
" "," ","Knocknacarra, Galway",808.59,745.63,682.70,677.42,687.71,699.33,712.01,770.37,839.91,936.46,1021.53
" "," ","Loughrea, Galway",0.00,523.75,0.00,0.00,0.00,0.00,445.37,483.35,555.60,598.03,636.62
" "," ","Mervue, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Monivea, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Moycullen, Galway",0.00,668.96,576.66,0.00,0.00,0.00,586.34,638.00,849.95,907.44,0.00
" "," ","Newcastle, Galway",0.00,0.00,0.00,0.00,0.00,0.00,997.34,0.00,0.00,0.00,0.00
" "," ","Oranmore, Galway",871.48,687.15,634.15,630.15,626.65,639.51,666.03,703.44,756.19,850.91,938.35
" "," ","Oughterard, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Portumna, Galway",0.00,0.00,0.00,0.00,327.92,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Rahoon, Galway",773.75,709.92,680.81,669.09,698.29,707.39,709.81,727.78,779.92,802.57,858.56
" "," ","Renmore, Galway",560.71,638.14,669.53,637.65,666.83,682.82,712.50,752.71,795.10,865.00,917.34
" "," ","Roscam, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,939.62,1002.57
" "," ","Salthill, Galway",896.90,830.90,786.15,777.87,775.64,786.06,803.95,874.14,950.41,976.41,1037.96
" "," ","Tuam, Galway",595.09,567.40,552.40,561.84,554.87,579.53,592.12,581.87,574.41,681.66,758.84
" "," ","Wellpark, Galway",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Woodquay, Galway",0.00,965.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Kerry",678.69,661.10,578.79,545.21,531.35,526.50,535.15,580.46,618.50,650.01,690.96
" "," ","Castleisland, Kerry",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Dingle, Kerry",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Kenmare, Kerry",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Killarney, Kerry",794.07,751.62,653.78,596.42,584.27,601.81,614.87,670.27,726.37,770.45,792.48
" "," ","Killorglin, Kerry",0.00,0.00,0.00,0.00,460.01,439.04,444.89,0.00,0.00,620.94,572.92
" "," ","Listowel, Kerry",0.00,0.00,0.00,0.00,0.00,0.00,379.92,0.00,0.00,0.00,0.00
" "," ","Tralee, Kerry",668.14,635.76,564.65,542.09,539.62,538.03,534.88,579.71,599.82,629.40,683.97
" "," ","Kildare",948.46,850.71,749.37,721.39,714.81,724.03,770.21,850.04,933.26,1009.17,1063.23
" "," ","Kildare Town",815.31,744.46,645.65,595.23,580.40,606.62,630.45,673.15,761.31,827.96,904.02
" "," ","Athy, Kildare",674.89,616.77,528.25,591.78,563.46,485.92,502.98,552.34,607.66,656.78,734.14
" "," ","Castledermot, Kildare",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Celbridge, Kildare",1056.11,947.78,821.57,802.19,811.13,832.15,880.21,945.87,1027.33,1084.60,1122.18
" "," ","Clane, Kildare",916.07,813.88,711.65,681.56,687.12,744.81,795.14,834.19,971.48,1051.88,1085.80
" "," ","Kilcock, Kildare",952.34,850.22,757.15,708.46,688.59,700.00,734.02,796.84,891.41,1029.45,1098.06
" "," ","Kilcullen, Kildare",0.00,759.03,0.00,0.00,0.00,0.00,0.00,850.96,939.91,974.90,964.20
" "," ","Kill, Kildare",0.00,0.00,721.63,710.00,0.00,0.00,773.78,0.00,980.31,1055.24,1092.72
" "," ","Leixlip, Kildare",1142.61,1007.72,898.96,880.70,881.77,887.02,956.90,1070.53,1133.43,1210.76,1352.14
" "," ","Maynooth, Kildare",1052.93,965.75,850.03,823.95,831.39,863.01,934.72,1016.18,1081.56,1166.37,1242.71
" "," ","Monasterevin, Kildare",712.15,657.83,559.28,538.52,526.54,517.59,551.52,629.02,705.57,766.33,806.03
" "," ","Naas, Kildare",974.50,865.84,761.65,724.83,715.33,736.96,795.79,888.02,1001.09,1085.01,1137.85
" "," ","Newbridge, Kildare",961.21,857.70,754.21,706.57,698.79,707.97,727.39,787.20,853.85,914.84,936.72
" "," ","Rathangan, Kildare",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Sallins, Kildare",942.07,826.32,724.46,693.17,684.94,728.31,774.59,838.65,909.82,1002.83,1083.74
" "," ","Kilkenny",778.25,697.13,606.73,571.17,574.72,579.12,593.66,637.01,688.59,736.28,794.65
" "," ","Kilkenny City",768.60,694.12,602.59,576.96,572.13,577.71,597.46,637.39,698.98,745.90,795.57
" "," ","Callan, Kilkenny",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Castlecomer, Kilkenny",768.84,712.98,618.37,601.14,649.37,625.98,621.28,668.66,728.25,801.81,875.64
" "," ","Freshford, Kilkenny",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Kells, Kilkenny",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Thomastown, Kilkenny",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Laois",661.34,598.40,529.54,472.48,462.41,464.60,497.44,545.27,600.22,662.04,716.53
" "," ","Mountmellick, Laois",0.00,503.97,465.92,424.39,410.51,406.60,425.81,449.48,480.85,559.39,610.63
" "," ","Mountrath, Laois",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Portarlington, Laois",614.07,547.08,490.44,446.84,413.51,414.12,447.09,481.97,527.31,590.64,685.64
" "," ","Portlaoise, Laois",683.67,628.27,553.96,487.69,481.64,487.76,526.72,569.78,626.32,696.65,748.57
" "," ","Leitrim",517.92,463.89,423.75,394.19,369.04,362.26,383.13,407.23,437.19,453.53,515.09
" "," ","Carrick-On-Shannon, Leitrim",534.40,481.42,430.87,393.45,378.47,377.91,394.09,433.51,458.35,501.26,579.51
" "," ","Manorhamilton, Leitrim",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Limerick",788.65,682.29,591.58,575.91,599.88,571.94,562.02,599.77,667.19,748.88,832.95
" "," ","Limerick City",806.59,675.81,602.32,587.60,579.95,571.59,581.56,629.67,688.90,754.82,842.90
" "," ","Abbeyfeale, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Annacotty, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,858.51,0.00
" "," ","Castleconnell, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,766.13,0.00
" "," ","Castletroy, Limerick",832.62,915.98,508.44,495.82,799.84,604.40,385.72,428.19,489.31,825.85,884.20
" "," ","Corbally, Limerick",790.56,733.46,620.69,578.19,565.79,569.53,587.00,619.04,672.83,731.53,865.19
" "," ","Dock Road, Limerick",665.03,599.23,528.85,480.14,466.17,474.45,493.47,541.01,588.72,657.94,743.54
" "," ","Dooradoyle, Limerick",788.16,707.40,622.83,612.53,600.31,599.12,614.67,658.02,721.02,783.81,848.40
" "," ","Glen, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Kilmallock, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Newcastle West, Limerick",0.00,0.00,519.37,0.00,0.00,488.29,454.14,483.14,520.92,552.15,551.06
" "," ","Old Cratloe Road, Limerick",0.00,0.00,0.00,0.00,0.00,0.00,0.00,684.71,693.16,704.19,718.57
" "," ","Raheen, Limerick",730.84,664.40,605.66,593.63,577.15,571.15,591.56,646.98,701.16,750.87,0.00
" "," ","Longford",517.17,467.39,402.69,373.87,364.56,349.39,353.73,387.89,436.48,474.41,525.85
" "," ","Longford Town",0.00,0.00,0.00,362.14,347.85,334.73,350.39,391.92,443.91,477.73,512.71
" "," ","Ballymahon, Longford",483.98,445.95,390.85,361.56,348.48,334.26,369.92,412.62,492.85,555.03,573.66
" "," ","Edgeworthstown, Longford",501.25,452.51,393.20,365.32,0.00,0.00,0.00,0.00,403.94,392.32,427.67
" "," ","Newtownforbes, Longford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Louth",820.16,716.85,616.02,580.71,582.26,593.62,617.29,672.15,740.50,831.15,916.76
" "," ","Ardee, Louth",0.00,0.00,522.16,481.82,0.00,639.48,652.15,600.72,632.46,733.57,747.89
" "," ","Drogheda, Louth",856.35,748.26,634.59,595.34,602.06,609.65,632.33,701.50,794.41,905.64,1009.73
" "," ","Dundalk, Louth",705.04,653.62,599.16,581.78,568.77,576.03,604.56,649.83,689.62,755.28,836.10
" "," ","Louth Town",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Mayo",626.52,613.45,571.96,530.14,510.98,494.13,509.26,518.83,541.94,572.15,598.53
" "," ","Ballina, Mayo",585.81,572.76,540.47,508.76,494.73,463.22,458.29,466.01,482.72,501.60,523.69
" "," ","Ballinrobe, Mayo",0.00,554.22,527.15,0.00,0.00,0.00,0.00,412.19,440.00,450.56,485.39
" "," ","Ballyhaunis, Mayo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Belmullet, Mayo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Castlebar, Mayo",648.04,640.60,567.15,522.95,508.26,493.10,489.14,491.23,540.46,583.84,632.59
" "," ","Charlestown, Mayo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Claremorris, Mayo",0.00,551.10,486.85,446.85,451.63,426.45,415.57,452.53,482.20,513.23,549.72
" "," ","Foxford, Mayo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Swinford, Mayo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Westport, Mayo",687.89,690.59,645.81,606.90,577.37,569.00,628.56,654.69,644.95,678.03,723.41
" "," ","Meath",871.01,776.47,667.44,636.70,626.29,631.26,667.25,742.40,828.65,929.40,1007.39
" "," ","Ashbourne, Meath",990.22,858.17,740.84,716.90,718.78,722.71,762.06,856.59,979.34,1080.18,1138.96
" "," ","Athboy, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,605.47,670.06,756.96
" "," ","Bettystown, Meath",0.00,801.73,687.10,627.40,628.84,612.56,613.26,663.07,745.72,975.04,1029.16
" "," ","Clonee, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Drogheda, Meath",0.00,0.00,0.00,0.00,0.00,669.67,696.33,758.52,859.60,983.07,1076.06
" "," ","Duleek, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Dunboyne, Meath",1033.26,945.35,832.26,795.47,771.89,775.17,850.21,984.02,1076.17,1147.06,1278.99
" "," ","Dunshaughlin, Meath",869.40,807.26,647.81,636.21,700.50,698.66,693.13,739.52,800.72,935.01,989.71
" "," ","Enfield, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1007.81,0.00
" "," ","Kells, Meath",0.00,0.00,592.46,510.07,510.64,543.83,529.19,579.64,0.00,0.00,0.00
" "," ","Laytown, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Navan, Meath",810.15,707.81,602.44,578.06,560.40,559.91,605.84,663.31,754.20,839.45,918.95
" "," ","Ratoath, Meath",942.72,823.75,718.33,726.12,722.40,719.38,783.89,895.27,996.78,1078.71,1291.68
" "," ","Stamullen, Meath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Trim, Meath",882.00,802.03,682.23,658.41,664.21,672.84,650.53,680.06,733.57,822.79,962.51
" "," ","Monaghan",635.57,563.33,502.47,502.03,508.64,489.54,481.72,498.70,524.59,557.79,602.79
" "," ","Ballybay, Monaghan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Carrickmacross, Monaghan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Castleblayney, Monaghan",0.00,541.13,0.00,0.00,453.37,431.95,426.89,433.39,477.26,513.27,532.41
" "," ","Monaghan Town",0.00,0.00,0.00,0.00,521.04,507.85,527.84,541.56,557.91,604.91,615.02
" "," ","Offaly",685.59,599.06,528.17,509.87,501.59,512.52,523.97,538.96,543.04,580.51,625.78
" "," ","Banagher, Offaly",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Birr, Offaly",0.00,0.00,0.00,0.00,0.00,494.78,553.16,0.00,0.00,541.45,553.34
" "," ","Clara, Offaly",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Edenderry, Offaly",0.00,587.21,499.67,471.82,469.82,470.54,504.13,530.83,521.67,556.16,610.40
" "," ","Tullamore, Offaly",675.20,594.66,525.58,522.20,511.84,544.00,531.29,535.29,558.33,602.85,666.34
" "," ","Roscommon",551.56,519.32,463.45,438.17,426.04,400.54,417.59,427.85,436.09,466.95,521.81
" "," ","Athlone, Roscommon",0.00,0.00,0.00,0.00,496.70,482.41,0.00,0.00,630.66,672.23,730.83
" "," ","Ballaghaderreen, Roscommon",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,344.14,360.73
" "," ","Boyle, Roscommon",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399.01,511.44
" "," ","Castlerea, Roscommon",0.00,446.01,391.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Roscommon Town",0.00,0.00,0.00,0.00,467.34,0.00,0.00,494.70,496.32,509.45,0.00
" "," ","Strokestown, Roscommon",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Sligo",656.81,579.22,562.84,550.95,513.95,516.96,926.47,668.91,510.85,590.21,620.21
" "," ","Sligo Town",0.00,0.00,0.00,576.23,568.46,551.39,582.47,590.21,594.96,633.17,674.69
" "," ","Ballinode, Sligo",748.35,0.00,643.15,654.85,419.42,451.07,0.00,610.02,345.50,521.81,554.22
" "," ","Ballisodare, Sligo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Ballymote, Sligo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Ballytivnan, Sligo",518.38,0.00,477.00,0.00,0.00,533.82,1081.11,665.73,689.40,798.59,0.00
" "," ","Collooney, Sligo",0.00,0.00,0.00,476.32,476.82,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Lough Gill, Sligo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Strandhill, Sligo",0.00,587.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Tubbercurry, Sligo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Tipperary",648.01,606.39,530.84,506.44,488.69,482.57,497.26,498.59,521.15,540.16,574.04
" "," ","Tipperary Town",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472.95,531.72,594.69
" "," ","Ballina, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Cahir, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Carrick-On-Suir, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Cashel, Tipperary",0.00,0.00,0.00,0.00,0.00,440.82,423.01,441.31,492.92,532.06,561.08
" "," ","Clonmel, Tipperary",645.79,633.63,592.41,598.79,562.22,533.65,576.75,579.15,587.28,591.47,611.29
" "," ","Fethard, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Nenagh, Tipperary",637.67,571.28,478.37,448.01,436.73,445.14,455.29,475.64,489.29,519.34,573.37
" "," ","Roscrea, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,431.00,459.22,486.82,509.26,540.88
" "," ","Templemore, Tipperary",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Thurles, Tipperary",0.00,629.58,572.09,495.42,557.20,487.20,483.98,485.51,527.09,509.64,558.50
" "," ","Waterford",664.03,609.75,542.90,530.16,507.51,499.64,501.82,522.21,571.42,635.97,682.90
" "," ","Waterford City",671.15,614.03,542.98,540.42,510.50,500.87,501.19,522.01,574.40,648.66,704.21
" "," ","Ballytruckle, Waterford",0.00,334.14,328.85,506.34,517.54,501.54,512.04,545.13,591.92,672.21,0.00
" "," ","Canada Street, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,633.97,698.63,774.56
" "," ","Castle Place, Waterford",0.00,0.00,613.53,619.84,575.66,584.31,591.64,635.15,648.56,0.00,0.00
" "," ","Cork Road, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Dungarvan, Waterford",670.09,587.67,514.42,512.78,504.42,523.40,541.31,547.38,562.19,592.75,609.09
" "," ","Dunmore East, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Dunmore Road, Waterford",0.00,0.00,0.00,0.00,686.77,687.50,703.87,713.90,764.50,801.57,867.44
" "," ","Ferrybank, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Inner Ring Road, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Johns Hill, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Lismore, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Mary Street, Waterford",0.00,617.15,537.42,534.07,543.84,499.26,498.37,520.77,623.12,685.28,0.00
" "," ","Penrose Lane, Waterford",671.66,601.57,535.82,513.91,474.67,467.89,492.73,513.72,566.01,668.37,711.13
" "," ","Poleberry, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Portlaw, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Railway Square, Waterford",0.00,0.00,0.00,0.00,540.95,550.57,594.58,0.00,715.83,0.00,0.00
" "," ","Scotch Quay, Waterford",0.00,573.83,486.82,517.28,509.67,465.01,493.31,525.23,551.09,642.21,707.92
" "," ","Templars Hall, Waterford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Tramore, Waterford",0.00,0.00,472.79,451.17,433.54,417.62,423.59,428.73,513.52,559.60,586.54
" "," ","Westmeath",664.67,621.77,576.53,580.96,522.26,542.31,540.21,704.78,638.92,676.31,738.01
" "," ","Athlone, Westmeath",690.77,662.94,633.62,642.78,563.38,603.97,587.17,875.15,692.69,708.95,772.53
" "," ","Castlepollard, Westmeath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Kilbeggan, Westmeath",0.00,0.00,0.00,0.00,0.00,453.79,447.32,482.23,541.50,586.15,593.54
" "," ","Kinnegad, Westmeath",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Moate, Westmeath",0.00,0.00,0.00,490.20,501.67,449.87,0.00,472.25,513.59,531.58,0.00
" "," ","Mullingar, Westmeath",610.72,559.77,502.76,488.31,466.51,464.26,489.29,520.09,575.03,636.79,705.91
" "," ","Wexford",683.91,632.38,583.69,552.90,515.23,506.87,511.67,527.53,554.66,597.70,653.42
" "," ","Bunclody, Wexford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Clonard, Wexford",0.00,679.59,627.71,584.28,546.16,0.00,549.02,623.95,678.12,672.92,708.38
" "," ","Enniscorthy, Wexford",602.95,550.26,516.62,488.88,453.92,444.28,448.19,448.26,486.89,532.20,568.22
" "," ","Ferns, Wexford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Ford, Wexford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Gorey, Wexford",693.00,660.02,597.34,576.44,561.75,544.48,542.51,591.45,631.78,685.72,775.01
" "," ","Mulgannon, Wexford",0.00,0.00,596.56,0.00,0.00,0.00,524.14,0.00,0.00,0.00,0.00
" "," ","New Ross, Wexford",682.46,642.94,575.96,512.52,465.01,461.06,478.47,484.10,487.39,533.72,599.94
" "," ","Rosslare, Wexford",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Wicklow",1092.03,994.90,873.88,823.96,811.37,818.73,867.35,938.00,1007.58,1086.14,1139.55
" "," ","Wicklow Town",0.00,865.00,786.28,725.21,684.76,683.84,721.32,742.84,797.32,907.15,961.03
" "," ","Arklow, Wicklow",765.88,730.70,670.00,630.94,608.63,589.27,604.52,645.16,693.69,749.21,839.13
" "," ","Baltinglass, Wicklow",773.21,713.72,679.35,0.00,568.32,548.73,572.64,609.71,677.08,732.92,799.63
" "," ","Blessington, Wicklow",935.85,864.88,766.19,711.00,688.48,715.57,767.73,835.04,897.50,1017.24,1116.22
" "," ","Bray, Wicklow",1238.12,1110.67,962.84,923.53,927.00,943.33,1015.14,1103.73,1176.78,1238.91,1278.99
" "," ","Delgany, Wicklow",1204.30,1063.08,927.00,876.47,868.33,891.28,987.17,1082.72,1183.87,1288.02,1340.95
" "," ","Greystones, Wicklow",1214.97,1070.24,935.96,889.06,878.13,914.52,1012.67,1137.24,1192.98,1247.86,1348.40
" "," ","Kilcoole, Wicklow",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Newtownmountkennedy, Wicklow",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" "," ","Rathnew, Wicklow",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ","Three bed"
" "," ","Carlow",806.27,667.27,592.03,596.96,714.90,531.35,739.51,780.04,657.65,711.65,789.23
" "," ","Carlow Town",0.00,0.00,0.00,0.00,841.29,467.41,991.78,0.00,655.16,783.63,828.09
